# {"analyzer":"char_wb","feature_count":30000,"format":"armorer_native_linear_tfidf_v1","intercepts":[-1.1839083824695178,-7.725111325800931,-5.398444811609162,-5.926114894318232,-5.984136354105322,-5.46617221122413],"labels":["prompt_injection","system_prompt_extraction","data_exfiltration","sensitive_data_request","safety_bypass","destructive_command"],"lowercase":true,"model_name":"char-wb-public-distill-30k-v1","ngram_range":[3,5],"norm":"l2","smooth_idf":true,"source_model":"models/semantic_experiments/char-wb-public-distill-30k-v1/semantic_classifier.joblib","sublinear_tf":false,"threshold":0.65,"token_pattern":"(?u)\\b\\w\\w+\\b","use_idf":true}
# term	idf	coef_prompt_injection	coef_system_prompt_extraction	coef_data_exfiltration	coef_sensitive_data_request	coef_safety_bypass	coef_destructive_command
 #8b9	7.24025874575	0.011271162304	-0.000937951670253	-0.00344750683802	-0.0027076214425	-0.00328018677026	-0.00431855615162
 #8e	6.77796016287	0.00946858218959	-0.00196377223158	-0.00325481145872	-0.00438488579961	-0.00234092494742	-0.00410269515569
 #8e8	7.61974836745	0.00965366023534	-0.0020528308527	-0.00321421785985	-0.00455401469696	-0.00198563474482	-0.00426808872088
 #9	5.2406771799	0.034384720092	-0.00109967963642	-0.00370548585867	-0.00345176037306	-0.00339968344307	-0.00385675667058
 #99	6.11282601854	0.00873366609844	-0.000636351027389	-0.00223043433148	-0.00234922673364	-0.00206129775547	-0.00269210955599
 #999	6.18039944338	0.00867008697839	-0.00062860251376	-0.00220104693101	-0.0023084671726	-0.00205063248674	-0.00268379311484
 #9a	8.08463689603	0.0289910716275	-9.60761642838e-05	-0.000428884122931	-0.000282302139162	-0.000519239617319	-0.000433470151207
 #9aa	8.14781579765	0.0292144795157	-9.64137019418e-05	-0.000430754387915	-0.000282980993095	-0.000522336988304	-0.000435473796729
 #a	5.0757265301	0.0510600087842	-0.0140991326942	-0.020261653293	-0.0238544823726	-0.0159870094701	-0.0249371508347
 #aa	5.35905421617	0.0504696057627	-0.0145434983562	-0.0204122533269	-0.0244672330408	-0.0161075659797	-0.0253681674992
